U 60 | F 983040 | FPS 0436 | D 2286 | rR:μσmM 0.47 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.165 | F:μσmM 547.7 483.6 12.0 1000.0 | H 1.917 | V 0.018 | pL 0.002 | vL 0.002 | ∇ 0.026
U 61 | F 999424 | FPS 0436 | D 2324 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.145 | F:μσmM 505.3 480.2 12.0 1000.0 | H 1.913 | V 0.021 | pL 0.001 | vL 0.002 | ∇ 0.031
U 62 | F 1015808 | FPS 0455 | D 2360 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.163 | F:μσmM 568.5 479.3 9.0 1000.0 | H 1.917 | V 0.012 | pL -0.002 | vL 0.001 | ∇ 0.022
U 63 | F 1032192 | FPS 0442 | D 2397 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.140 | F:μσmM 492.4 478.9 10.0 1000.0 | H 1.908 | V 0.019 | pL -0.003 | vL 0.002 | ∇ 0.032
U 64 | F 1048576 | FPS 0437 | D 2434 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.024 | ADR: 0.198 | F:μσmM 465.6 475.1 8.0 1000.0 | H 1.907 | V 0.019 | pL -0.001 | vL 0.002 | ∇ 0.033
U 65 | F 1064960 | FPS 0439 | D 2472 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.020 | ADR: 0.157 | F:μσmM 469.5 477.6 9.0 1000.0 | H 1.903 | V 0.023 | pL -0.001 | vL 0.003 | ∇ 0.034
U 66 | F 1081344 | FPS 0427 | D 2510 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.020 | ADR: 0.166 | F:μσmM 441.1 472.8 13.0 1000.0 | H 1.904 | V 0.026 | pL 0.001 | vL 0.002 | ∇ 0.031
U 67 | F 1097728 | FPS 0416 | D 2549 | rR:μσmM 0.33 0.47 0.00 1.00 | ARPS: 0.013 | ADR: 0.109 | F:μσmM 678.0 455.4 14.0 1000.0 | H 1.913 | V 0.015 | pL 0.005 | vL 0.001 | ∇ 0.026
U 68 | F 1114112 | FPS 0401 | D 2590 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.021 | ADR: 0.160 | F:μσmM 480.8 477.1 7.0 1000.0 | H 1.907 | V 0.024 | pL 0.001 | vL 0.003 | ∇ 0.031
U 69 | F 1130496 | FPS 0395 | D 2632 | rR:μσmM 0.60 0.49 0.00 1.00 | ARPS: 0.017 | ADR: 0.129 | F:μσmM 425.6 465.2 10.0 1000.0 | H 1.894 | V 0.035 | pL 0.001 | vL 0.003 | ∇ 0.047
